Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Vivers,1-2017,1,2017,3.14,,10.52,30.6,46.8,46.25,,,,,,,,,3.6,221.31,7.89,12.74,56.55,1006.01,,0.1,,39.479653889163416,,-0.3697121931960339
Vivers,2-2017,2,2017,3.49,,13.1,33.59,53.65,39.56,,,,,,,,,2.45,216.62,5.58,14.34,62.47,1007.8,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,3-2017,3,2017,4.57,,10.14,30.45,46.02,54.53,,,,,,,,,2.5,207.37,6.01,15.08,58.88,1006.29,,0.03,,39.479653889163416,,-0.3697121931960339
Vivers,4-2017,4,2017,4.43,,9.61,21.58,36.35,62.39,,,,,,,,,2.09,188.59,5.65,16.23,61.33,1004.79,,0.02,,39.479653889163416,,-0.3697121931960339
Vivers,5-2017,5,2017,3.26,,7.68,29.0,40.63,60.67,,,,,,,,,1.86,201.09,5.17,19.39,56.63,1006.08,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,6-2017,6,2017,3.72,,5.99,30.27,39.48,59.77,,,,,,,,,2.36,184.21,5.98,22.85,52.1,1003.89,,0.0,,39.479653889163416,,-0.3697121931960339
Vivers,7-2017,7,2017,3.75,,8.19,20.61,33.04,54.99,,,,,,,,,1.81,162.79,4.94,22.74,63.07,1004.04,,0.0,,39.479653889163416,,-0.3697121931960339
Vivers,8-2017,8,2017,3.44,,7.02,21.29,32.09,56.51,,,,,,,,,1.83,193.88,4.88,22.25,62.21,1004.79,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,9-2017,9,2017,4.28,,7.81,27.34,39.35,56.46,,,,,,,,,2.24,193.66,5.56,19.87,60.27,1005.4,,0.03,,39.479653889163416,,-0.3697121931960339
Vivers,10-2017,10,2017,3.54,,11.38,30.25,47.6,43.41,,,,,,,,,1.92,214.54,4.85,18.64,59.19,1006.81,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,11-2017,11,2017,3.76,,17.05,35.87,61.92,35.54,,,,,,,,,2.48,224.86,5.8,15.33,50.11,1004.57,,0.0,,39.479653889163416,,-0.3697121931960339
Vivers,12-2017,12,2017,4.5,,15.35,31.01,54.46,37.08,,,,,,,,,3.14,232.63,7.44,14.64,54.12,1007.85,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,1-2018,1,2018,4.86,,14.24,29.16,50.91,39.53,,,,,,,,,2.48,222.42,6.0,14.18,57.85,1007.52,,0.02,,39.479653889163416,,-0.3697121931960339
Vivers,2-2018,2,2018,5.19,,10.18,28.48,43.97,44.35,,,,,,,,,2.32,219.93,5.85,13.71,60.45,1001.12,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,3-2018,3,2018,4.55,,7.28,21.11,32.15,58.86,,,,,,,,,3.65,246.07,9.07,15.68,48.59,998.96,,0.06,,39.479653889163416,,-0.3697121931960339
Vivers,4-2018,4,2018,3.41,,7.82,22.77,34.62,62.55,,,,,,,,,2.23,206.38,6.11,17.54,59.89,1002.46,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,5-2018,5,2018,3.65,,7.46,22.32,33.58,68.14,,,,,,,,,2.0,192.97,5.5,18.62,62.87,1000.88,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,6-2018,6,2018,3.18,,5.32,18.25,26.17,69.96,,,,,,,,,1.95,183.46,5.44,21.26,63.5,1001.23,,0.02,,39.479653889163416,,-0.3697121931960339
Vivers,7-2018,7,2018,3.39,,4.44,15.58,22.01,67.46,,,,,,,,,1.97,175.94,5.64,22.56,66.65,1000.58,,0.01,,39.479653889163416,,-0.3697121931960339
Vivers,8-2018,8,2018,3.55,,5.03,18.1,25.45,59.87,,,,,,,,,1.83,187.36,4.87,22.26,64.66,1002.52,,0.01,,39.479653889163416,,-0.3697121931960339
