Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Viveros,1-2017,1,2017,0.27,100.0,0.27,0.27,0.27,0.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.75,0.0,1.75,1.34,1.75,10,,1.08,100.0,39.479653889163416,,-0.3697121931960339
Viveros,2-2017,2,2017,56.99,100.0,4.32,4.32,4.32,4.32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.38,0.3,2.38,0.3,1.34,2,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,3-2017,3,2017,0.81,100.0,0.81,0.81,0.81,0.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.94,0.67,0.94,0.67,1.21,5,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,4-2017,4,2017,0.42,100.0,10.42,10.42,10.42,0.56,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.42,0.0,0.42,0.0,0.97,0,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,5-2017,5,2017,3.63,100.0,0.27,0.27,0.27,0.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.13,0.0,0.13,0.0,0.94,0,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,6-2017,6,2017,18.61,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.5,0.83,2.5,0.97,1.11,7,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,7-2017,7,2017,45.43,100.0,9.14,9.14,9.14,0.13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.54,0.0,0.54,0.0,0.54,0,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,8-2017,8,2017,0.27,100.0,0.27,0.27,0.27,0.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.54,0.0,0.54,0.0,1.08,0,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,9-2017,9,2017,0.28,100.0,0.28,0.28,0.28,0.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.83,0.14,0.83,0.14,1.25,1,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,10-2017,10,2017,2.02,100.0,0.81,0.81,0.81,0.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.15,1.34,3.09,3.36,2.82,21,,1.34,100.0,39.479653889163416,,-0.3697121931960339
Viveros,11-2017,11,2017,0.83,100.0,13.89,13.89,13.89,0.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.94,0.83,1.94,0.83,0.83,6,,0.28,100.0,39.479653889163416,,-0.3697121931960339
Viveros,12-2017,12,2017,1.21,100.0,1.75,1.75,1.75,0.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.34,0.4,1.34,0.4,0.67,3,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,1-2018,1,2018,0.27,100.0,0.27,0.27,0.27,0.27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.81,0.13,0.81,0.13,2.55,1,,0.0,100.0,39.479653889163416,,-0.3697121931960339
Viveros,2-2018,2,2018,0.3,100.0,0.3,0.3,0.3,5.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.74,0.15,0.74,0.15,4.02,1,,0.0,100.0,39.479653889163416,,-0.3697121931960339
