Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Viveros,1-2017,1,2017,0.37,,411.52,397.06,2115.41,665.69,,,,,,,,,12.13,9509.2,40.47,32.18,342.01,12.73,,0.6,,39.479653889163416,,-0.3697121931960339
Viveros,2-2017,2,2017,1.29,,407.59,414.35,2304.49,762.2,,,,,,,,,6.3,10026.2,22.98,26.85,280.97,30.32,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,3-2017,3,2017,2.18,,387.78,322.34,1791.09,1091.73,,,,,,,,,5.51,10850.18,20.13,27.19,293.1,28.87,,0.07,,39.479653889163416,,-0.3697121931960339
Viveros,4-2017,4,2017,4.12,,496.81,364.43,2421.66,1102.37,,,,,,,,,5.02,11100.82,20.89,24.23,209.64,35.39,,0.04,,39.479653889163416,,-0.3697121931960339
Viveros,5-2017,5,2017,1.12,,218.49,445.58,1550.76,971.56,,,,,,,,,6.03,10624.48,21.26,21.81,216.63,23.26,,0.03,,39.479653889163416,,-0.3697121931960339
Viveros,6-2017,6,2017,2.14,,105.21,449.55,1058.54,804.51,,,,,,,,,5.38,10636.56,20.77,33.54,314.87,31.12,,0.0,,39.479653889163416,,-0.3697121931960339
Viveros,7-2017,7,2017,2.33,,231.94,426.62,1657.09,685.28,,,,,,,,,3.45,11352.22,12.82,30.64,212.64,23.0,,0.0,,39.479653889163416,,-0.3697121931960339
Viveros,8-2017,8,2017,1.62,,414.5,338.05,2054.03,752.0,,,,,,,,,4.91,10877.38,17.35,28.85,228.35,14.43,,0.02,,39.479653889163416,,-0.3697121931960339
Viveros,9-2017,9,2017,2.41,,198.46,374.92,1433.23,964.61,,,,,,,,,5.14,10701.08,16.84,22.51,216.07,20.58,,0.61,,39.479653889163416,,-0.3697121931960339
Viveros,10-2017,10,2017,1.87,,622.72,498.93,3100.02,850.27,,,,,,,,,3.83,10720.82,13.61,17.27,233.6,33.41,,0.03,,39.479653889163416,,-0.3697121931960339
Viveros,11-2017,11,2017,1.65,,990.72,580.83,4502.49,853.31,,,,,,,,,5.2,9603.79,21.47,30.26,358.68,45.12,,0.0,,39.479653889163416,,-0.3697121931960339
Viveros,12-2017,12,2017,4.79,,901.95,514.41,4112.63,778.7,,,,,,,,,6.98,7269.71,28.68,29.77,227.48,68.16,,0.03,,39.479653889163416,,-0.3697121931960339
Viveros,1-2018,1,2018,9.92,,670.46,520.92,3313.73,835.29,,,,,,,,,6.69,8834.83,23.62,29.58,314.27,65.03,,0.03,,39.479653889163416,,-0.3697121931960339
Viveros,2-2018,2,2018,12.04,,496.05,423.82,2305.55,815.07,,,,,,,,,5.9,9316.92,21.94,38.84,360.46,48.34,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,3-2018,3,2018,8.81,,223.59,383.44,1435.1,779.38,,,,,,,,,8.75,4773.3,32.93,28.9,316.78,53.06,,0.46,,39.479653889163416,,-0.3697121931960339
Viveros,4-2018,4,2018,1.36,,261.82,330.7,1497.98,1041.88,,,,,,,,,5.19,9760.46,20.88,21.51,270.23,34.89,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,5-2018,5,2018,2.39,,389.53,272.78,1699.15,1170.1,,,,,,,,,4.84,9776.21,18.05,19.64,309.2,24.79,,0.03,,39.479653889163416,,-0.3697121931960339
Viveros,6-2018,6,2018,0.5,,85.43,197.93,614.65,942.36,,,,,,,,,4.39,10454.52,15.19,29.47,192.47,29.18,,0.12,,39.479653889163416,,-0.3697121931960339
Viveros,7-2018,7,2018,0.68,,101.57,207.91,684.57,742.84,,,,,,,,,3.45,10678.08,12.57,37.29,272.49,15.1,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,8-2018,8,2018,0.85,,92.39,231.28,723.32,765.49,,,,,,,,,3.37,11112.75,10.97,34.55,213.36,13.4,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,9-2018,9,2018,2.55,,115.36,265.38,860.34,881.19,,,,,,,,,5.56,10912.07,19.28,28.1,258.18,23.49,,1.57,,39.479653889163416,,-0.3697121931960339
Viveros,10-2018,10,2018,1.96,,215.26,300.52,1248.72,746.92,,,,,,,,,6.78,10735.93,25.44,19.05,304.79,54.12,,1.0,,39.479653889163416,,-0.3697121931960339
Viveros,11-2018,11,2018,1.28,,442.47,453.96,2341.83,772.85,,,,,,,,,6.39,10293.26,26.34,19.15,364.86,50.6,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,12-2018,12,2018,1.68,,661.18,408.28,3076.28,812.38,,,,,,,,,4.89,6144.43,21.52,26.08,227.27,57.43,,0.0,,39.479653889163416,,-0.3697121931960339
Viveros,1-2019,1,2019,1.81,,1085.72,530.58,4688.81,807.05,,,,,,,,,7.8,7607.46,34.11,33.86,214.97,49.64,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,2-2019,2,2019,1.54,,469.11,620.3,2702.13,1005.64,,,,,,,,,4.95,11148.79,20.32,35.75,284.66,67.56,,0.05,,39.479653889163416,,-0.3697121931960339
Viveros,3-2019,3,2019,1.71,,233.29,476.3,1667.11,1095.22,,,,,,,,,7.49,11056.91,28.23,30.07,296.74,43.1,,0.05,,39.479653889163416,,-0.3697121931960339
Viveros,4-2019,4,2019,0.9,,100.33,288.08,834.9,1013.4,,,,,,,,,15.81,11649.46,55.76,26.22,318.75,48.39,,0.37,,39.479653889163416,,-0.3697121931960339
Viveros,5-2019,5,2019,1.22,,103.07,256.21,811.14,812.24,,,,,,,,,6.9,11369.44,21.98,21.67,285.81,36.05,,0.09,,39.479653889163416,,-0.3697121931960339
